Transaction_ID,Date,Customer_ID,Transaction_Amount,Category,Payment_Method,Merchant,Is_Fraud
T000001,2023-01-01 00:00:00,4174,839.85,Groceries,Debit Card,CVS,0
T000002,2023-01-01 01:00:00,4507,367.79,Utilities,Online,Walmart,0
T000003,2023-01-01 02:00:00,1860,861.2,Groceries,Credit Card,Walmart,0
T000004,2023-01-01 03:00:00,2294,412.74,Travel,Credit Card,Best Buy,0
T000005,2023-01-01 04:00:00,2130,334.95,Dining,Online,CVS,0
T000006,2023-01-01 05:00:00,2095,459.45,Dining,Cash,CVS,1
T000007,2023-01-01 06:00:00,4772,764.82,Utilities,Cash,Uber,0
T000008,2023-01-01 07:00:00,4092,134.74,Travel,Debit Card,Netflix,0
T000009,2023-01-01 08:00:00,2638,204.46,Groceries,Cash,Best Buy,0
T000010,2023-01-01 09:00:00,3169,951.93,Dining,Debit Card,Costco,0
T000011,2023-01-01 10:00:00,1466,183.74,Healthcare,Credit Card,Target,0
T000012,2023-01-01 11:00:00,2238,572.05,Entertainment,Online,Costco,0
T000013,2023-01-01 12:00:00,1330,583.52,Travel,Credit Card,Amazon,1
T000014,2023-01-01 13:00:00,2482,494.73,Healthcare,Online,Best Buy,0
T000015,2023-01-01 14:00:00,3135,648.3,Healthcare,Cash,Target,0
T000016,2023-01-01 15:00:00,4444,237.53,Travel,Credit Card,Costco,0
T000017,2023-01-01 16:00:00,4171,557.14,Entertainment,Credit Card,Costco,0
T000018,2023-01-01 17:00:00,3919,378.45,Dining,Debit Card,CVS,0
T000019,2023-01-01 18:00:00,4735,665.05,Entertainment,Online,Best Buy,0
T000020,2023-01-01 19:00:00,1130,149.81,Utilities,Cash,Amazon,0
T000021,2023-01-01 20:00:00,2685,575.17,Groceries,Credit Card,Walmart,0
T000022,2023-01-01 21:00:00,4380,193.42,Groceries,Online,Best Buy,0
T000023,2023-01-01 22:00:00,1769,285.86,Healthcare,Cash,Netflix,0
